Unnamed: 0,agent,group,model,AS_fit,DB_fit,VS_fit,SG_fit,lambda,beta,tau,gamma,alpha,eps_soc,lambda_fit,beta_fit,tau_fit,par_fit
0,0.0,0.0,DB,55.06581313152107,38.22004228374968,55.32267256675356,55.06992823537608,0.5040807734559486,0.3428318794761139,0.0075133876020974,0.5365000448895012,0.0,0.0,0.4968663905176963,0.35068253841855596,0.0067731849305922,0.5663748479559196
15,1.0,0.0,DB,66.32071941653389,65.08858386548918,66.64838686308615,66.41781751367687,0.2686089443821221,0.5439836411407183,0.0072802609188911,0.9483682366504064,0.0,0.0,0.05500085128894246,10.539554176766966,0.051125053584315044,0.9185661629928239
30,2.0,0.0,DB,62.75276189638744,27.792017335003194,62.769018141727656,62.66745660804813,0.599267495918165,0.3371996869272689,0.0068258265586556,0.7905910853799971,0.0,0.0,0.6429246217183645,0.3161531335662959,0.005534765794216431,0.7960058221039472
45,3.0,0.0,DB,67.17211062702833,60.84505141753796,67.25753715179535,67.20363817768535,0.4006732991596702,0.5835790936746845,0.0143526629324686,0.9095491528109626,0.0,0.0,0.39661733892288964,2.1880431596101557,0.02239244554956119,0.9251308936195073
480,0.0,1.0,VS,38.38127237353762,34.49061899219993,20.03052882658543,32.37760595325665,0.2067343178865828,0.2515639422379033,0.0055626345447855,0.0,0.5739636185602726,0.0,0.42090346172092463,0.24460658231418247,0.010723766535554666,0.3332282301800379
495,1.0,1.0,SG,66.23639976394855,66.27404042011948,66.66657281214006,64.33464691392803,0.1772761864921667,0.6507808053492312,0.0084704612988147,0.0,0.0,7.9001581622362815,0.037819737778318555,0.675876244896789,0.005265084727587773,12.57032797351065
510,2.0,1.0,DB,59.8722317372628,33.69057974700512,59.62508082480177,60.21569793156908,0.1390831332196607,0.2433661313252514,0.0230614902251097,0.8362562761710516,0.0,0.0,0.028764826766912856,0.26575188794287435,0.01916181295941233,0.8957302175328449
525,3.0,1.0,SG,61.22295187970653,61.29988480292081,63.03806477192252,57.11092418507346,0.3861408424105849,0.6999898861256986,0.0058855339442039,0.0,0.0,1.915134079877856,0.38814317032737466,0.7148763311435935,0.006259848902620647,2.086353369726141
960,0.0,2.0,VS,50.98859012303778,28.57378530336872,38.88618831479819,49.02518289061635,0.3487077670113878,0.518860023783984,0.0049230051901282,0.0,0.9002818356848368,0.0,0.5996575049588386,0.14286535855657795,0.07400709083592771,0.4362928622389969
975,1.0,2.0,VS,42.28117614039724,21.561460487676168,9.33472670524472,40.13026472295012,0.932292575171696,0.384097897093057,0.0023286760605399,0.0,0.0951854362165516,0.0,0.983340551370618,0.37033085398740107,0.0021901600888733037,0.09225887000792499
990,2.0,2.0,VS,23.16263971855854,21.07742870505871,38.42280707989323,22.506569977207004,0.4508877016602988,0.2684488429504642,0.0059411877666473,0.0,0.13460482209771,0.0,0.5506546443712406,0.17506557025224545,0.011694204603523058,0.07142857142857141
1005,3.0,2.0,DB,44.00967745421354,36.08099841328097,42.790578660064654,43.85803734332982,0.6763708781806893,0.2488044351023303,0.0147601022802141,0.3877850286153984,0.0,0.0,0.5953391546049481,0.29151044532742215,0.011115217419307502,0.462166478345198
1440,0.0,3.0,VS,41.949081612182965,39.80515855756663,32.59467498524178,37.12095263094751,0.5333394269792222,0.3736273072664545,0.0109738225904586,0.0,0.2139136767635476,0.0,0.5184465316379232,0.3706517641927758,0.010428332382116347,0.17278316901958912
1455,1.0,3.0,AS,50.32987410347861,49.92645961211797,53.18278037560714,50.0720889822009,0.4355623846524346,0.4926043089325946,0.0079536691177691,0.0,0.0,0.0,0.46670809989140416,0.4713806335080891,0.010541240879074865,
1470,2.0,3.0,AS,51.57793717828309,51.74510318579673,54.70788349277889,51.73049682991475,0.631537711552497,0.7208884704585748,0.0222677531705614,0.0,0.0,0.0,0.5713835314970536,1.173797418602902,0.01576636700439737,
1485,3.0,3.0,SG,51.89433589472685,51.903152489421664,54.930186081112346,44.36391157709701,0.5514354543218735,0.4703710894206453,0.0208810135151603,0.0,0.0,2.1274481002777894,0.5073863249189833,0.5218285454996028,0.016466186844699516,2.621692841987202
1920,0.0,4.0,VS,42.96994892267468,30.589546236689763,16.13534269047021,38.06274294055686,0.2566671992785015,0.3830049485341987,0.0114440751362654,0.0,0.5473181164096778,0.0,0.24768709248110304,0.3584217413730879,0.012560755885318376,0.3658188234278047
1935,1.0,4.0,DB,55.28969339980807,52.481999911672695,58.42994912404704,55.16092428068622,0.6480424964040645,0.3738553592586044,0.0349737141827858,0.5466547739972172,0.0,0.0,0.6944514111447349,0.3690194333858178,0.03613433812248052,0.5004885572552379
1950,2.0,4.0,DB,53.6504202281513,27.31097113514528,51.12999975940094,48.173763046857616,0.5315553352540537,0.2272038822691401,0.0096473729379101,0.8716571981209998,0.0,0.0,0.4970877109376551,0.25476276875322856,0.009429044865821554,0.8980516480252283
1965,3.0,4.0,SG,32.94920780268842,31.114861681356032,39.90267037846732,10.970239618184683,0.7155707930464352,0.3270635954896358,0.0088926950188504,0.0,0.0,0.2698157396322725,0.729184381793785,0.3211389411102715,0.009419773849368603,0.3054643982095202
2400,0.0,5.0,AS,56.09797117446929,65.70004969347761,47.562048079192216,39.9760750016747,0.4059481334696357,0.3119976575686533,0.0095155982651022,0.0,0.0,0.0,0.3888742659657435,0.3232722804864754,0.008431822955926083,
