,agent,group,model,AS_fit,DB_fit,VS_fit,SG_fit
21120,0.0,44.0,VS,,,,
21135,1.0,44.0,SG,,,,
21150,2.0,44.0,SG,,,,
21165,3.0,44.0,SG,,,,
21600,0.0,45.0,SG,,,,
21615,1.0,45.0,DB,,,,
21630,2.0,45.0,AS,,,,
21645,3.0,45.0,VS,,,,
22080,0.0,46.0,DB,,,,
22095,1.0,46.0,AS,,,,
22110,2.0,46.0,VS,,,,
22125,3.0,46.0,VS,,,,
22560,0.0,47.0,VS,,,,
22575,1.0,47.0,VS,,,,
22590,2.0,47.0,AS,,,,
22605,3.0,47.0,DB,,,,
23040,0.0,48.0,AS,,,,
23055,1.0,48.0,DB,,,,
23070,2.0,48.0,SG,,,,
23085,3.0,48.0,AS,,,,
23520,0.0,49.0,DB,,,,
23535,1.0,49.0,VS,,,,
23550,2.0,49.0,VS,,,,
23565,3.0,49.0,DB,,,,
24000,0.0,50.0,DB,,,,
24015,1.0,50.0,DB,,,,
24030,2.0,50.0,DB,,,,
24045,3.0,50.0,VS,,,,
24480,0.0,51.0,SG,,,,
24495,1.0,51.0,SG,,,,
24510,2.0,51.0,VS,,,,
24525,3.0,51.0,DB,,,,
24960,0.0,52.0,AS,,,,
24975,1.0,52.0,VS,,,,
24990,2.0,52.0,SG,,,,
25005,3.0,52.0,SG,,,,
25440,0.0,53.0,DB,,,,
25455,1.0,53.0,AS,,,,
25470,2.0,53.0,AS,,,,
25485,3.0,53.0,SG,,,,
25920,0.0,54.0,VS,,,,
25935,1.0,54.0,VS,,,,
25950,2.0,54.0,DB,,,,
25965,3.0,54.0,AS,,,,
26400,0.0,55.0,AS,,,,
26415,1.0,55.0,DB,,,,
26430,2.0,55.0,VS,,,,
26445,3.0,55.0,VS,,,,
26880,0.0,56.0,DB,,,,
26895,1.0,56.0,DB,,,,
26910,2.0,56.0,DB,,,,
26925,3.0,56.0,SG,,,,
27360,0.0,57.0,AS,,,,
27375,1.0,57.0,VS,,,,
27390,2.0,57.0,DB,,,,
27405,3.0,57.0,AS,,,,
27840,0.0,58.0,SG,,,,
27855,1.0,58.0,SG,,,,
27870,2.0,58.0,SG,,,,
27885,3.0,58.0,SG,,,,
28320,0.0,59.0,VS,,,,
28335,1.0,59.0,SG,,,,
28350,2.0,59.0,SG,,,,
28365,3.0,59.0,DB,,,,
28800,0.0,60.0,VS,,,,
28815,1.0,60.0,VS,,,,
28830,2.0,60.0,VS,,,,
28845,3.0,60.0,DB,,,,
29280,0.0,61.0,VS,,,,
29295,1.0,61.0,AS,,,,
29310,2.0,61.0,DB,,,,
29325,3.0,61.0,SG,,,,
29760,0.0,62.0,DB,,,,
29775,1.0,62.0,SG,,,,
29790,2.0,62.0,AS,,,,
29805,3.0,62.0,SG,,,,
30240,0.0,63.0,AS,,,,
30255,1.0,63.0,VS,,,,
30270,2.0,63.0,VS,,,,
30285,3.0,63.0,AS,,,,
30720,0.0,64.0,DB,,,,
30735,1.0,64.0,VS,,,,
30750,2.0,64.0,SG,,,,
30765,3.0,64.0,SG,,,,
31200,0.0,65.0,VS,,,,
31215,1.0,65.0,DB,,,,
31230,2.0,65.0,SG,,,,
31245,3.0,65.0,AS,,,,
31680,0.0,66.0,DB,,,,
31695,1.0,66.0,DB,,,,
31710,2.0,66.0,VS,,,,
31725,3.0,66.0,DB,,,,
32160,0.0,67.0,AS,,,,
32175,1.0,67.0,DB,,,,
32190,2.0,67.0,SG,,,,
32205,3.0,67.0,VS,,,,
32640,0.0,68.0,SG,,,,
32655,1.0,68.0,AS,,,,
32670,2.0,68.0,SG,,,,
32685,3.0,68.0,DB,,,,
33120,0.0,69.0,DB,,,,
33135,1.0,69.0,SG,,,,
33150,2.0,69.0,SG,,,,
33165,3.0,69.0,DB,,,,
33600,0.0,70.0,SG,,,,
33615,1.0,70.0,VS,,,,
33630,2.0,70.0,DB,,,,
33645,3.0,70.0,VS,,,,
34080,0.0,71.0,VS,,,,
34095,1.0,71.0,DB,,,,
34110,2.0,71.0,SG,,,,
34125,3.0,71.0,VS,,,,
34560,0.0,72.0,VS,,,,
34575,1.0,72.0,VS,,,,
34590,2.0,72.0,AS,,,,
34605,3.0,72.0,AS,,,,
35040,0.0,73.0,VS,,,,
35055,1.0,73.0,AS,,,,
35070,2.0,73.0,AS,,,,
35085,3.0,73.0,VS,,,,
35520,0.0,74.0,DB,,,,
35535,1.0,74.0,SG,,,,
35550,2.0,74.0,AS,,,,
35565,3.0,74.0,AS,,,,
36000,0.0,75.0,AS,,,,
36015,1.0,75.0,VS,,,,
36030,2.0,75.0,SG,,,,
36045,3.0,75.0,AS,,,,
36480,0.0,76.0,AS,,,,
36495,1.0,76.0,SG,,,,
36510,2.0,76.0,DB,,,,
36525,3.0,76.0,VS,,,,
36960,0.0,77.0,DB,,,,
36975,1.0,77.0,AS,,,,
36990,2.0,77.0,VS,,,,
37005,3.0,77.0,VS,,,,
37440,0.0,78.0,VS,,,,
37455,1.0,78.0,SG,,,,
37470,2.0,78.0,SG,,,,
37485,3.0,78.0,AS,,,,
37920,0.0,79.0,SG,,,,
37935,1.0,79.0,DB,,,,
37950,2.0,79.0,SG,,,,
37965,3.0,79.0,AS,,,,
38400,0.0,80.0,AS,,,,
38415,1.0,80.0,VS,,,,
38430,2.0,80.0,DB,,,,
38445,3.0,80.0,VS,,,,
38880,0.0,81.0,AS,,,,
38895,1.0,81.0,AS,,,,
38910,2.0,81.0,SG,,,,
38925,3.0,81.0,VS,,,,
39360,0.0,82.0,DB,,,,
39375,1.0,82.0,DB,,,,
39390,2.0,82.0,AS,,,,
39405,3.0,82.0,DB,,,,
39840,0.0,83.0,VS,,,,
39855,1.0,83.0,DB,,,,
39870,2.0,83.0,DB,,,,
39885,3.0,83.0,SG,,,,
40320,0.0,84.0,AS,,,,
40335,1.0,84.0,DB,,,,
40350,2.0,84.0,DB,,,,
40365,3.0,84.0,SG,,,,
40800,0.0,85.0,VS,,,,
40815,1.0,85.0,VS,,,,
40830,2.0,85.0,VS,,,,
40845,3.0,85.0,AS,,,,
41280,0.0,86.0,VS,,,,
41295,1.0,86.0,SG,,,,
41310,2.0,86.0,VS,,,,
41325,3.0,86.0,VS,,,,
41760,0.0,87.0,DB,,,,
41775,1.0,87.0,DB,,,,
41790,2.0,87.0,VS,,,,
41805,3.0,87.0,DB,,,,
42240,0.0,88.0,SG,,,,
42255,1.0,88.0,DB,,,,
42270,2.0,88.0,DB,,,,
42285,3.0,88.0,SG,,,,
42720,0.0,89.0,VS,,,,
42735,1.0,89.0,VS,,,,
42750,2.0,89.0,SG,,,,
42765,3.0,89.0,AS,,,,
43200,0.0,90.0,DB,,,,
43215,1.0,90.0,SG,,,,
43230,2.0,90.0,VS,,,,
43245,3.0,90.0,SG,,,,
43680,0.0,91.0,DB,,,,
43695,1.0,91.0,AS,,,,
43710,2.0,91.0,SG,,,,
43725,3.0,91.0,VS,,,,
44160,0.0,92.0,DB,,,,
44175,1.0,92.0,DB,,,,
44190,2.0,92.0,VS,,,,
44205,3.0,92.0,VS,,,,
44640,0.0,93.0,DB,,,,
44655,1.0,93.0,AS,,,,
44670,2.0,93.0,AS,,,,
44685,3.0,93.0,SG,,,,
45120,0.0,94.0,SG,,,,
45135,1.0,94.0,AS,,,,
45150,2.0,94.0,VS,,,,
45165,3.0,94.0,SG,,,,
45600,0.0,95.0,SG,,,,
45615,1.0,95.0,AS,,,,
45630,2.0,95.0,SG,,,,
45645,3.0,95.0,AS,,,,
46080,0.0,96.0,VS,,,,
46095,1.0,96.0,VS,,,,
46110,2.0,96.0,VS,,,,
46125,3.0,96.0,VS,,,,
46560,0.0,97.0,DB,,,,
46575,1.0,97.0,SG,,,,
46590,2.0,97.0,SG,,,,
46605,3.0,97.0,SG,,,,
47040,0.0,98.0,AS,,,,
47055,1.0,98.0,AS,,,,
47070,2.0,98.0,SG,,,,
47085,3.0,98.0,SG,,,,
47520,0.0,99.0,VS,,,,
47535,1.0,99.0,SG,,,,
47550,2.0,99.0,VS,,,,
47565,3.0,99.0,VS,,,,
48000,0.0,100.0,AS,,,,
48015,1.0,100.0,DB,,,,
48030,2.0,100.0,DB,,,,
48045,3.0,100.0,VS,,,,
48480,0.0,101.0,AS,,,,
48495,1.0,101.0,SG,,,,
48510,2.0,101.0,DB,,,,
48525,3.0,101.0,VS,,,,
48960,0.0,102.0,VS,,,,
48975,1.0,102.0,SG,,,,
48990,2.0,102.0,SG,,,,
49005,3.0,102.0,SG,,,,
49440,0.0,103.0,VS,,,,
49455,1.0,103.0,DB,,,,
49470,2.0,103.0,VS,,,,
49485,3.0,103.0,SG,,,,
49920,0.0,104.0,AS,,,,
49935,1.0,104.0,SG,,,,
49950,2.0,104.0,AS,,,,
49965,3.0,104.0,AS,,,,
50400,0.0,105.0,SG,,,,
50415,1.0,105.0,AS,,,,
50430,2.0,105.0,DB,,,,
50445,3.0,105.0,DB,,,,
50880,0.0,106.0,DB,,,,
50895,1.0,106.0,AS,,,,
50910,2.0,106.0,VS,,,,
50925,3.0,106.0,DB,,,,
51360,0.0,107.0,VS,,,,
51375,1.0,107.0,SG,,,,
51390,2.0,107.0,VS,,,,
51405,3.0,107.0,DB,,,,
51840,0.0,108.0,AS,,,,
51855,1.0,108.0,DB,,,,
51870,2.0,108.0,AS,,,,
51885,3.0,108.0,VS,,,,
52320,0.0,109.0,DB,,,,
52335,1.0,109.0,SG,,,,
52350,2.0,109.0,SG,,,,
52365,3.0,109.0,SG,,,,
52800,0.0,110.0,DB,,,,
52815,1.0,110.0,AS,,,,
52830,2.0,110.0,VS,,,,
52845,3.0,110.0,VS,,,,
53280,0.0,111.0,SG,,,,
53295,1.0,111.0,AS,,,,
53310,2.0,111.0,DB,,,,
53325,3.0,111.0,DB,,,,
53760,0.0,112.0,DB,,,,
53775,1.0,112.0,AS,,,,
53790,2.0,112.0,DB,,,,
53805,3.0,112.0,AS,,,,
54240,0.0,113.0,DB,,,,
54255,1.0,113.0,AS,,,,
54270,2.0,113.0,DB,,,,
54285,3.0,113.0,SG,,,,
54720,0.0,114.0,VS,,,,
54735,1.0,114.0,VS,,,,
54750,2.0,114.0,VS,,,,
