,agent,group,model,AS_fit,DB_fit,VS_fit,SG_fit
92175,1.0,192.0,VS,,,,
92190,2.0,192.0,DB,,,,
92205,3.0,192.0,DB,,,,
92640,0.0,193.0,AS,,,,
92655,1.0,193.0,AS,,,,
92670,2.0,193.0,DB,,,,
92685,3.0,193.0,VS,,,,
93120,0.0,194.0,SG,,,,
93135,1.0,194.0,SG,,,,
93150,2.0,194.0,DB,,,,
93165,3.0,194.0,AS,,,,
93600,0.0,195.0,VS,,,,
93615,1.0,195.0,DB,,,,
93630,2.0,195.0,AS,,,,
93645,3.0,195.0,DB,,,,
94080,0.0,196.0,VS,,,,
94095,1.0,196.0,VS,,,,
94110,2.0,196.0,VS,,,,
94125,3.0,196.0,SG,,,,
94560,0.0,197.0,DB,,,,
94575,1.0,197.0,VS,,,,
94590,2.0,197.0,DB,,,,
94605,3.0,197.0,DB,,,,
95040,0.0,198.0,VS,,,,
95055,1.0,198.0,DB,,,,
95070,2.0,198.0,VS,,,,
95085,3.0,198.0,DB,,,,
95520,0.0,199.0,SG,,,,
95535,1.0,199.0,AS,,,,
95550,2.0,199.0,VS,,,,
95565,3.0,199.0,SG,,,,
96000,0.0,200.0,AS,,,,
96015,1.0,200.0,SG,,,,
96030,2.0,200.0,DB,,,,
96045,3.0,200.0,SG,,,,
96480,0.0,201.0,DB,,,,
96495,1.0,201.0,AS,,,,
96510,2.0,201.0,AS,,,,
96525,3.0,201.0,VS,,,,
96960,0.0,202.0,AS,,,,
96975,1.0,202.0,AS,,,,
96990,2.0,202.0,DB,,,,
97005,3.0,202.0,VS,,,,
97440,0.0,203.0,SG,,,,
97455,1.0,203.0,AS,,,,
97470,2.0,203.0,SG,,,,
97485,3.0,203.0,DB,,,,
97920,0.0,204.0,AS,,,,
97935,1.0,204.0,AS,,,,
97950,2.0,204.0,DB,,,,
97965,3.0,204.0,VS,,,,
98400,0.0,205.0,AS,,,,
98415,1.0,205.0,DB,,,,
98430,2.0,205.0,SG,,,,
98445,3.0,205.0,SG,,,,
98880,0.0,206.0,VS,,,,
98895,1.0,206.0,SG,,,,
98910,2.0,206.0,AS,,,,
98925,3.0,206.0,VS,,,,
99360,0.0,207.0,SG,,,,
99375,1.0,207.0,DB,,,,
99390,2.0,207.0,AS,,,,
99405,3.0,207.0,SG,,,,
99840,0.0,208.0,VS,,,,
99855,1.0,208.0,SG,,,,
99870,2.0,208.0,AS,,,,
99885,3.0,208.0,DB,,,,
100320,0.0,209.0,VS,,,,
100335,1.0,209.0,VS,,,,
100350,2.0,209.0,SG,,,,
100365,3.0,209.0,SG,,,,
100800,0.0,210.0,SG,,,,
100815,1.0,210.0,DB,,,,
100830,2.0,210.0,DB,,,,
100845,3.0,210.0,SG,,,,
101280,0.0,211.0,AS,,,,
101295,1.0,211.0,AS,,,,
101310,2.0,211.0,DB,,,,
101325,3.0,211.0,DB,,,,
101760,0.0,212.0,VS,,,,
101775,1.0,212.0,SG,,,,
101790,2.0,212.0,DB,,,,
101805,3.0,212.0,SG,,,,
102240,0.0,213.0,VS,,,,
102255,1.0,213.0,AS,,,,
102270,2.0,213.0,AS,,,,
102285,3.0,213.0,DB,,,,
102720,0.0,214.0,DB,,,,
102735,1.0,214.0,VS,,,,
102750,2.0,214.0,SG,,,,
102765,3.0,214.0,DB,,,,
103200,0.0,215.0,AS,,,,
103215,1.0,215.0,AS,,,,
103230,2.0,215.0,DB,,,,
103245,3.0,215.0,AS,,,,
103680,0.0,216.0,VS,,,,
103695,1.0,216.0,DB,,,,
103710,2.0,216.0,DB,,,,
103725,3.0,216.0,AS,,,,
104160,0.0,217.0,AS,,,,
104175,1.0,217.0,DB,,,,
104190,2.0,217.0,DB,,,,
104205,3.0,217.0,DB,,,,
104640,0.0,218.0,DB,,,,
104655,1.0,218.0,SG,,,,
104670,2.0,218.0,VS,,,,
104685,3.0,218.0,DB,,,,
105120,0.0,219.0,SG,,,,
105135,1.0,219.0,SG,,,,
105150,2.0,219.0,DB,,,,
105165,3.0,219.0,AS,,,,
105600,0.0,220.0,DB,,,,
105615,1.0,220.0,AS,,,,
105630,2.0,220.0,SG,,,,
105645,3.0,220.0,SG,,,,
106080,0.0,221.0,VS,,,,
106095,1.0,221.0,VS,,,,
106110,2.0,221.0,SG,,,,
106125,3.0,221.0,SG,,,,
106560,0.0,222.0,SG,,,,
106575,1.0,222.0,VS,,,,
106590,2.0,222.0,DB,,,,
106605,3.0,222.0,DB,,,,
107040,0.0,223.0,DB,,,,
107055,1.0,223.0,SG,,,,
107070,2.0,223.0,SG,,,,
107085,3.0,223.0,SG,,,,
107520,0.0,224.0,SG,,,,
107535,1.0,224.0,AS,,,,
107550,2.0,224.0,DB,,,,
107565,3.0,224.0,DB,,,,
108000,0.0,225.0,AS,,,,
108015,1.0,225.0,DB,,,,
108030,2.0,225.0,AS,,,,
108045,3.0,225.0,SG,,,,
108480,0.0,226.0,VS,,,,
108495,1.0,226.0,AS,,,,
108510,2.0,226.0,DB,,,,
108525,3.0,226.0,SG,,,,
108960,0.0,227.0,DB,,,,
108975,1.0,227.0,SG,,,,
108990,2.0,227.0,VS,,,,
109005,3.0,227.0,AS,,,,
109440,0.0,228.0,AS,,,,
109455,1.0,228.0,SG,,,,
109470,2.0,228.0,VS,,,,
109485,3.0,228.0,DB,,,,
109920,0.0,229.0,DB,,,,
109935,1.0,229.0,DB,,,,
109950,2.0,229.0,DB,,,,
109965,3.0,229.0,VS,,,,
110400,0.0,230.0,VS,,,,
110415,1.0,230.0,VS,,,,
110430,2.0,230.0,AS,,,,
110445,3.0,230.0,AS,,,,
110880,0.0,231.0,SG,,,,
110895,1.0,231.0,VS,,,,
110910,2.0,231.0,VS,,,,
110925,3.0,231.0,SG,,,,
111360,0.0,232.0,DB,,,,
111375,1.0,232.0,DB,,,,
111390,2.0,232.0,DB,,,,
111405,3.0,232.0,AS,,,,
111840,0.0,233.0,AS,,,,
111855,1.0,233.0,AS,,,,
111870,2.0,233.0,DB,,,,
111885,3.0,233.0,AS,,,,
112320,0.0,234.0,SG,,,,
112335,1.0,234.0,VS,,,,
112350,2.0,234.0,AS,,,,
112365,3.0,234.0,AS,,,,
112800,0.0,235.0,DB,,,,
112815,1.0,235.0,SG,,,,
112830,2.0,235.0,AS,,,,
112845,3.0,235.0,SG,,,,
113280,0.0,236.0,AS,,,,
113295,1.0,236.0,AS,,,,
113310,2.0,236.0,SG,,,,
113325,3.0,236.0,VS,,,,
113760,0.0,237.0,AS,,,,
113775,1.0,237.0,VS,,,,
113790,2.0,237.0,VS,,,,
113805,3.0,237.0,AS,,,,
114240,0.0,238.0,AS,,,,
114255,1.0,238.0,DB,,,,
114270,2.0,238.0,AS,,,,
114285,3.0,238.0,DB,,,,
114720,0.0,239.0,AS,,,,
114735,1.0,239.0,VS,,,,
114750,2.0,239.0,VS,,,,
114765,3.0,239.0,AS,,,,
115200,0.0,240.0,AS,,,,
115215,1.0,240.0,VS,,,,
115230,2.0,240.0,AS,,,,
115245,3.0,240.0,SG,,,,
115680,0.0,241.0,VS,,,,
115695,1.0,241.0,DB,,,,
115710,2.0,241.0,DB,,,,
115725,3.0,241.0,VS,,,,
116160,0.0,242.0,DB,,,,
116175,1.0,242.0,AS,,,,
116190,2.0,242.0,AS,,,,
116205,3.0,242.0,AS,,,,
116640,0.0,243.0,SG,,,,
116655,1.0,243.0,VS,,,,
116670,2.0,243.0,DB,,,,
116685,3.0,243.0,AS,,,,
117120,0.0,244.0,DB,,,,
117135,1.0,244.0,SG,,,,
117150,2.0,244.0,SG,,,,
117165,3.0,244.0,DB,,,,
117600,0.0,245.0,DB,,,,
117615,1.0,245.0,VS,,,,
117630,2.0,245.0,SG,,,,
117645,3.0,245.0,AS,,,,
118080,0.0,246.0,SG,,,,
118095,1.0,246.0,AS,,,,
118110,2.0,246.0,VS,,,,
118125,3.0,246.0,DB,,,,
118560,0.0,247.0,AS,,,,
118575,1.0,247.0,VS,,,,
118590,2.0,247.0,DB,,,,
118605,3.0,247.0,SG,,,,
119040,0.0,248.0,AS,,,,
119055,1.0,248.0,AS,,,,
119070,2.0,248.0,SG,,,,
119085,3.0,248.0,AS,,,,
119520,0.0,249.0,SG,,,,
119535,1.0,249.0,SG,,,,
119550,2.0,249.0,VS,,,,
119565,3.0,249.0,DB,,,,
120000,0.0,250.0,SG,,,,
120015,1.0,250.0,AS,,,,
120030,2.0,250.0,VS,,,,
120045,3.0,250.0,AS,,,,
120480,0.0,251.0,DB,,,,
120495,1.0,251.0,DB,,,,
120510,2.0,251.0,AS,,,,
120525,3.0,251.0,VS,,,,
120960,0.0,252.0,SG,,,,
120975,1.0,252.0,SG,,,,
120990,2.0,252.0,SG,,,,
121005,3.0,252.0,SG,,,,
121440,0.0,253.0,SG,,,,
121455,1.0,253.0,DB,,,,
121470,2.0,253.0,VS,,,,
121485,3.0,253.0,AS,,,,
121920,0.0,254.0,DB,,,,
121935,1.0,254.0,SG,,,,
121950,2.0,254.0,DB,,,,
121965,3.0,254.0,AS,,,,
122400,0.0,255.0,AS,,,,
122415,1.0,255.0,DB,,,,
122430,2.0,255.0,VS,,,,
122445,3.0,255.0,SG,,,,
122880,0.0,256.0,SG,,,,
122895,1.0,256.0,AS,,,,
122910,2.0,256.0,DB,,,,
122925,3.0,256.0,VS,,,,
123360,0.0,257.0,AS,,,,
123375,1.0,257.0,AS,,,,
123390,2.0,257.0,DB,,,,
123405,3.0,257.0,DB,,,,
123840,0.0,258.0,SG,,,,
123855,1.0,258.0,AS,,,,
123870,2.0,258.0,SG,,,,
123885,3.0,258.0,DB,,,,
124320,0.0,259.0,VS,,,,
124335,1.0,259.0,DB,,,,
124350,2.0,259.0,SG,,,,
124365,3.0,259.0,DB,,,,
124800,0.0,260.0,VS,,,,
124815,1.0,260.0,SG,,,,
124830,2.0,260.0,VS,,,,
124845,3.0,260.0,AS,,,,
125280,0.0,261.0,SG,,,,
125295,1.0,261.0,DB,,,,
125310,2.0,261.0,AS,,,,
125325,3.0,261.0,AS,,,,
125760,0.0,262.0,VS,,,,
125775,1.0,262.0,AS,,,,
125790,2.0,262.0,SG,,,,
125805,3.0,262.0,DB,,,,
126240,0.0,263.0,DB,,,,
126255,1.0,263.0,DB,,,,
126270,2.0,263.0,DB,,,,
126285,3.0,263.0,DB,,,,
126720,0.0,264.0,DB,,,,
126735,1.0,264.0,VS,,,,
126750,2.0,264.0,DB,,,,
126765,3.0,264.0,VS,,,,
127200,0.0,265.0,DB,,,,
127215,1.0,265.0,AS,,,,
127230,2.0,265.0,DB,,,,
127245,3.0,265.0,DB,,,,
127680,0.0,266.0,SG,,,,
127695,1.0,266.0,SG,,,,
127710,2.0,266.0,DB,,,,
127725,3.0,266.0,SG,,,,
128160,0.0,267.0,AS,,,,
128175,1.0,267.0,SG,,,,
128190,2.0,267.0,SG,,,,
128205,3.0,267.0,AS,,,,
128640,0.0,268.0,VS,,,,
128655,1.0,268.0,SG,,,,
128670,2.0,268.0,VS,,,,
128685,3.0,268.0,VS,,,,
129120,0.0,269.0,VS,,,,
129135,1.0,269.0,AS,,,,
129150,2.0,269.0,SG,,,,
129165,3.0,269.0,VS,,,,
129600,0.0,270.0,VS,,,,
129615,1.0,270.0,DB,,,,
129630,2.0,270.0,SG,,,,
129645,3.0,270.0,AS,,,,
130080,0.0,271.0,AS,,,,
130095,1.0,271.0,SG,,,,
130110,2.0,271.0,VS,,,,
130125,3.0,271.0,AS,,,,
130560,0.0,272.0,VS,,,,
130575,1.0,272.0,SG,,,,
130590,2.0,272.0,AS,,,,
130605,3.0,272.0,DB,,,,
131040,0.0,273.0,SG,,,,
131055,1.0,273.0,DB,,,,
131070,2.0,273.0,AS,,,,
131085,3.0,273.0,SG,,,,
131520,0.0,274.0,SG,,,,
131535,1.0,274.0,VS,,,,
131550,2.0,274.0,SG,,,,
131565,3.0,274.0,SG,,,,
132000,0.0,275.0,SG,,,,
132015,1.0,275.0,DB,,,,
132030,2.0,275.0,AS,,,,
132045,3.0,275.0,AS,,,,
132480,0.0,276.0,DB,,,,
132495,1.0,276.0,DB,,,,
132510,2.0,276.0,DB,,,,
132525,3.0,276.0,SG,,,,
132960,0.0,277.0,VS,,,,
132975,1.0,277.0,SG,,,,
132990,2.0,277.0,VS,,,,
133005,3.0,277.0,VS,,,,
133440,0.0,278.0,AS,,,,
133455,1.0,278.0,DB,,,,
133470,2.0,278.0,SG,,,,
133485,3.0,278.0,AS,,,,
133920,0.0,279.0,AS,,,,
133935,1.0,279.0,DB,,,,
133950,2.0,279.0,SG,,,,
133965,3.0,279.0,SG,,,,
134400,0.0,280.0,SG,,,,
134415,1.0,280.0,SG,,,,
134430,2.0,280.0,SG,,,,
134445,3.0,280.0,DB,,,,
134880,0.0,281.0,DB,,,,
134895,1.0,281.0,SG,,,,
134910,2.0,281.0,SG,,,,
134925,3.0,281.0,DB,,,,
135360,0.0,282.0,DB,,,,
135375,1.0,282.0,AS,,,,
135390,2.0,282.0,DB,,,,
135405,3.0,282.0,DB,,,,
135840,0.0,283.0,AS,,,,
135855,1.0,283.0,AS,,,,
135870,2.0,283.0,DB,,,,
135885,3.0,283.0,SG,,,,
136320,0.0,284.0,DB,,,,
136335,1.0,284.0,AS,,,,
136350,2.0,284.0,AS,,,,
136365,3.0,284.0,VS,,,,
136800,0.0,285.0,SG,,,,
136815,1.0,285.0,SG,,,,
136830,2.0,285.0,DB,,,,
136845,3.0,285.0,DB,,,,
137280,0.0,286.0,DB,,,,
137295,1.0,286.0,DB,,,,
137310,2.0,286.0,DB,,,,
137325,3.0,286.0,DB,,,,
137760,0.0,287.0,DB,,,,
137775,1.0,287.0,SG,,,,
137790,2.0,287.0,AS,,,,
137805,3.0,287.0,SG,,,,
138240,0.0,288.0,SG,,,,
138255,1.0,288.0,AS,,,,
138270,2.0,288.0,VS,,,,
138285,3.0,288.0,VS,,,,
138720,0.0,289.0,VS,,,,
138735,1.0,289.0,SG,,,,
138750,2.0,289.0,AS,,,,
138765,3.0,289.0,DB,,,,
139200,0.0,290.0,VS,,,,
139215,1.0,290.0,DB,,,,
139230,2.0,290.0,SG,,,,
139245,3.0,290.0,AS,,,,
139680,0.0,291.0,SG,,,,
139695,1.0,291.0,VS,,,,
139710,2.0,291.0,SG,,,,
139725,3.0,291.0,AS,,,,
140160,0.0,292.0,AS,,,,
140175,1.0,292.0,AS,,,,
140190,2.0,292.0,AS,,,,
140205,3.0,292.0,SG,,,,
140640,0.0,293.0,SG,,,,
140655,1.0,293.0,DB,,,,
140670,2.0,293.0,AS,,,,
140685,3.0,293.0,DB,,,,
141120,0.0,294.0,VS,,,,
141135,1.0,294.0,DB,,,,
141150,2.0,294.0,DB,,,,
141165,3.0,294.0,DB,,,,
141600,0.0,295.0,DB,,,,
141615,1.0,295.0,AS,,,,
141630,2.0,295.0,VS,,,,
141645,3.0,295.0,DB,,,,
142080,0.0,296.0,SG,,,,
142095,1.0,296.0,VS,,,,
142110,2.0,296.0,AS,,,,
142125,3.0,296.0,VS,,,,
142560,0.0,297.0,AS,,,,
142575,1.0,297.0,VS,,,,
142590,2.0,297.0,SG,,,,
142605,3.0,297.0,VS,,,,
143040,0.0,298.0,AS,,,,
143055,1.0,298.0,SG,,,,
143070,2.0,298.0,AS,,,,
143085,3.0,298.0,VS,,,,
143520,0.0,299.0,DB,,,,
143535,1.0,299.0,AS,,,,
143550,2.0,299.0,AS,,,,
143565,3.0,299.0,AS,,,,
144000,0.0,300.0,SG,,,,
144015,1.0,300.0,VS,,,,
144030,2.0,300.0,VS,,,,
144045,3.0,300.0,DB,,,,
144480,0.0,301.0,VS,,,,
144495,1.0,301.0,SG,,,,
144510,2.0,301.0,DB,,,,
144525,3.0,301.0,AS,,,,
144960,0.0,302.0,AS,,,,
144975,1.0,302.0,DB,,,,
144990,2.0,302.0,AS,,,,
145005,3.0,302.0,VS,,,,
145440,0.0,303.0,SG,,,,
145455,1.0,303.0,DB,,,,
145470,2.0,303.0,DB,,,,
145485,3.0,303.0,SG,,,,
145920,0.0,304.0,VS,,,,
145935,1.0,304.0,SG,,,,
145950,2.0,304.0,DB,,,,
145965,3.0,304.0,SG,,,,
146400,0.0,305.0,VS,,,,
146415,1.0,305.0,SG,,,,
146430,2.0,305.0,DB,,,,
146445,3.0,305.0,DB,,,,
146880,0.0,306.0,DB,,,,
146895,1.0,306.0,SG,,,,
146910,2.0,306.0,AS,,,,
146925,3.0,306.0,DB,,,,
147360,0.0,307.0,AS,,,,
147375,1.0,307.0,VS,,,,
147390,2.0,307.0,SG,,,,
147405,3.0,307.0,VS,,,,
147840,0.0,308.0,AS,,,,
147855,1.0,308.0,SG,,,,
147870,2.0,308.0,SG,,,,
147885,3.0,308.0,AS,,,,
148320,0.0,309.0,VS,,,,
148335,1.0,309.0,SG,,,,
148350,2.0,309.0,VS,,,,
148365,3.0,309.0,VS,,,,
148800,0.0,310.0,SG,,,,
148815,1.0,310.0,AS,,,,
148830,2.0,310.0,AS,,,,
148845,3.0,310.0,AS,,,,
149280,0.0,311.0,SG,,,,
149295,1.0,311.0,SG,,,,
149310,2.0,311.0,VS,,,,
149325,3.0,311.0,SG,,,,
149760,0.0,312.0,SG,,,,
149775,1.0,312.0,VS,,,,
149790,2.0,312.0,AS,,,,
149805,3.0,312.0,VS,,,,
150240,0.0,313.0,SG,,,,
150255,1.0,313.0,AS,,,,
150270,2.0,313.0,SG,,,,
150285,3.0,313.0,DB,,,,
150720,0.0,314.0,AS,,,,
150735,1.0,314.0,SG,,,,
150750,2.0,314.0,SG,,,,
150765,3.0,314.0,AS,,,,
151200,0.0,315.0,SG,,,,
151215,1.0,315.0,SG,,,,
151230,2.0,315.0,AS,,,,
151245,3.0,315.0,DB,,,,
151680,0.0,316.0,VS,,,,
151695,1.0,316.0,SG,,,,
151710,2.0,316.0,DB,,,,
151725,3.0,316.0,AS,,,,
152160,0.0,317.0,DB,,,,
152175,1.0,317.0,DB,,,,
152190,2.0,317.0,VS,,,,
152205,3.0,317.0,SG,,,,
152640,0.0,318.0,AS,,,,
152655,1.0,318.0,AS,,,,
152670,2.0,318.0,SG,,,,
152685,3.0,318.0,AS,,,,
153120,0.0,319.0,VS,,,,
153135,1.0,319.0,SG,,,,
153150,2.0,319.0,VS,,,,
153165,3.0,319.0,AS,,,,
153600,0.0,320.0,DB,,,,
153615,1.0,320.0,AS,,,,
153630,2.0,320.0,VS,,,,
153645,3.0,320.0,AS,,,,
154080,0.0,321.0,VS,,,,
154095,1.0,321.0,DB,,,,
154110,2.0,321.0,AS,,,,
154125,3.0,321.0,AS,,,,
154560,0.0,322.0,VS,,,,
154575,1.0,322.0,DB,,,,
154590,2.0,322.0,DB,,,,
154605,3.0,322.0,SG,,,,
155040,0.0,323.0,DB,,,,
155055,1.0,323.0,SG,,,,
155070,2.0,323.0,SG,,,,
155085,3.0,323.0,DB,,,,
155520,0.0,324.0,AS,,,,
155535,1.0,324.0,AS,,,,
155550,2.0,324.0,VS,,,,
155565,3.0,324.0,VS,,,,
156000,0.0,325.0,SG,,,,
156015,1.0,325.0,VS,,,,
156030,2.0,325.0,AS,,,,
156045,3.0,325.0,DB,,,,
156480,0.0,326.0,VS,,,,
156495,1.0,326.0,DB,,,,
156510,2.0,326.0,VS,,,,
156525,3.0,326.0,AS,,,,
156960,0.0,327.0,VS,,,,
156975,1.0,327.0,SG,,,,
156990,2.0,327.0,DB,,,,
157005,3.0,327.0,VS,,,,
157440,0.0,328.0,DB,,,,
157455,1.0,328.0,SG,,,,
157470,2.0,328.0,AS,,,,
157485,3.0,328.0,SG,,,,
157920,0.0,329.0,SG,,,,
157935,1.0,329.0,DB,,,,
157950,2.0,329.0,DB,,,,
157965,3.0,329.0,VS,,,,
158400,0.0,330.0,SG,,,,
158415,1.0,330.0,VS,,,,
158430,2.0,330.0,VS,,,,
158445,3.0,330.0,SG,,,,
158880,0.0,331.0,DB,,,,
158895,1.0,331.0,VS,,,,
158910,2.0,331.0,SG,,,,
158925,3.0,331.0,VS,,,,
159360,0.0,332.0,DB,,,,
159375,1.0,332.0,AS,,,,
159390,2.0,332.0,AS,,,,
159405,3.0,332.0,AS,,,,
159840,0.0,333.0,DB,,,,
159855,1.0,333.0,DB,,,,
159870,2.0,333.0,DB,,,,
159885,3.0,333.0,DB,,,,
160320,0.0,334.0,VS,,,,
160335,1.0,334.0,AS,,,,
160350,2.0,334.0,SG,,,,
160365,3.0,334.0,AS,,,,
160800,0.0,335.0,SG,,,,
160815,1.0,335.0,DB,,,,
160830,2.0,335.0,AS,,,,
160845,3.0,335.0,AS,,,,
161280,0.0,336.0,VS,,,,
161295,1.0,336.0,AS,,,,
161310,2.0,336.0,SG,,,,
161325,3.0,336.0,AS,,,,
161760,0.0,337.0,AS,,,,
161775,1.0,337.0,SG,,,,
161790,2.0,337.0,AS,,,,
161805,3.0,337.0,DB,,,,
162240,0.0,338.0,SG,,,,
162255,1.0,338.0,DB,,,,
162270,2.0,338.0,VS,,,,
162285,3.0,338.0,SG,,,,
162720,0.0,339.0,AS,,,,
162735,1.0,339.0,DB,,,,
162750,2.0,339.0,DB,,,,
162765,3.0,339.0,AS,,,,
163200,0.0,340.0,SG,,,,
163215,1.0,340.0,VS,,,,
163230,2.0,340.0,SG,,,,
163245,3.0,340.0,DB,,,,
163680,0.0,341.0,AS,,,,
163695,1.0,341.0,SG,,,,
163710,2.0,341.0,AS,,,,
163725,3.0,341.0,AS,,,,
164160,0.0,342.0,AS,,,,
164175,1.0,342.0,VS,,,,
164190,2.0,342.0,SG,,,,
164205,3.0,342.0,VS,,,,
164640,0.0,343.0,DB,,,,
164655,1.0,343.0,AS,,,,
164670,2.0,343.0,AS,,,,
164685,3.0,343.0,DB,,,,
165120,0.0,344.0,DB,,,,
165135,1.0,344.0,AS,,,,
165150,2.0,344.0,VS,,,,
165165,3.0,344.0,AS,,,,
165600,0.0,345.0,VS,,,,
165615,1.0,345.0,AS,,,,
165630,2.0,345.0,DB,,,,
165645,3.0,345.0,VS,,,,
166080,0.0,346.0,SG,,,,
166095,1.0,346.0,AS,,,,
166110,2.0,346.0,SG,,,,
166125,3.0,346.0,DB,,,,
166560,0.0,347.0,AS,,,,
166575,1.0,347.0,VS,,,,
166590,2.0,347.0,AS,,,,
166605,3.0,347.0,VS,,,,
167040,0.0,348.0,VS,,,,
167055,1.0,348.0,DB,,,,
167070,2.0,348.0,AS,,,,
167085,3.0,348.0,AS,,,,
167520,0.0,349.0,VS,,,,
167535,1.0,349.0,DB,,,,
167550,2.0,349.0,SG,,,,
167565,3.0,349.0,AS,,,,
168000,0.0,350.0,AS,,,,
168015,1.0,350.0,SG,,,,
168030,2.0,350.0,VS,,,,
168045,3.0,350.0,SG,,,,
168480,0.0,351.0,SG,,,,
168495,1.0,351.0,SG,,,,
168510,2.0,351.0,VS,,,,
168525,3.0,351.0,VS,,,,
168960,0.0,352.0,AS,,,,
168975,1.0,352.0,VS,,,,
168990,2.0,352.0,AS,,,,
169005,3.0,352.0,VS,,,,
169440,0.0,353.0,DB,,,,
169455,1.0,353.0,VS,,,,
169470,2.0,353.0,AS,,,,
169485,3.0,353.0,DB,,,,
169920,0.0,354.0,DB,,,,
169935,1.0,354.0,DB,,,,
169950,2.0,354.0,SG,,,,
169965,3.0,354.0,AS,,,,
170400,0.0,355.0,VS,,,,
170415,1.0,355.0,SG,,,,
170430,2.0,355.0,SG,,,,
170445,3.0,355.0,DB,,,,
170880,0.0,356.0,AS,,,,
170895,1.0,356.0,AS,,,,
170910,2.0,356.0,SG,,,,
170925,3.0,356.0,VS,,,,
171360,0.0,357.0,DB,,,,
171375,1.0,357.0,SG,,,,
171390,2.0,357.0,VS,,,,
171405,3.0,357.0,SG,,,,
171840,0.0,358.0,DB,,,,
171855,1.0,358.0,VS,,,,
171870,2.0,358.0,SG,,,,
171885,3.0,358.0,VS,,,,
172320,0.0,359.0,SG,,,,
172335,1.0,359.0,SG,,,,
172350,2.0,359.0,VS,,,,
172365,3.0,359.0,AS,,,,
172800,0.0,360.0,AS,,,,
172815,1.0,360.0,SG,,,,
172830,2.0,360.0,DB,,,,
172845,3.0,360.0,DB,,,,
173280,0.0,361.0,AS,,,,
173295,1.0,361.0,AS,,,,
173310,2.0,361.0,DB,,,,
173325,3.0,361.0,AS,,,,
173760,0.0,362.0,VS,,,,
173775,1.0,362.0,DB,,,,
173790,2.0,362.0,SG,,,,
173805,3.0,362.0,VS,,,,
174240,0.0,363.0,AS,,,,
174255,1.0,363.0,AS,,,,
174270,2.0,363.0,AS,,,,
174285,3.0,363.0,DB,,,,
174720,0.0,364.0,AS,,,,
174735,1.0,364.0,SG,,,,
174750,2.0,364.0,SG,,,,
174765,3.0,364.0,SG,,,,
175200,0.0,365.0,AS,,,,
175215,1.0,365.0,VS,,,,
175230,2.0,365.0,SG,,,,
175245,3.0,365.0,SG,,,,
175680,0.0,366.0,DB,,,,
175695,1.0,366.0,AS,,,,
175710,2.0,366.0,SG,,,,
175725,3.0,366.0,SG,,,,
176160,0.0,367.0,DB,,,,
176175,1.0,367.0,DB,,,,
176190,2.0,367.0,VS,,,,
176205,3.0,367.0,DB,,,,
176640,0.0,368.0,SG,,,,
176655,1.0,368.0,DB,,,,
176670,2.0,368.0,DB,,,,
176685,3.0,368.0,DB,,,,
177120,0.0,369.0,VS,,,,
177135,1.0,369.0,AS,,,,
177150,2.0,369.0,SG,,,,
177165,3.0,369.0,SG,,,,
177600,0.0,370.0,VS,,,,
177615,1.0,370.0,VS,,,,
177630,2.0,370.0,DB,,,,
177645,3.0,370.0,SG,,,,
178080,0.0,371.0,AS,,,,
178095,1.0,371.0,SG,,,,
178110,2.0,371.0,SG,,,,
178125,3.0,371.0,AS,,,,
178560,0.0,372.0,VS,,,,
178575,1.0,372.0,VS,,,,
178590,2.0,372.0,AS,,,,
178605,3.0,372.0,SG,,,,
179040,0.0,373.0,DB,,,,
179055,1.0,373.0,VS,,,,
179070,2.0,373.0,SG,,,,
179085,3.0,373.0,DB,,,,
179520,0.0,374.0,DB,,,,
179535,1.0,374.0,DB,,,,
179550,2.0,374.0,AS,,,,
179565,3.0,374.0,AS,,,,
180000,0.0,375.0,SG,,,,
180015,1.0,375.0,VS,,,,
180030,2.0,375.0,SG,,,,
180045,3.0,375.0,DB,,,,
180480,0.0,376.0,VS,,,,
180495,1.0,376.0,AS,,,,
180510,2.0,376.0,VS,,,,
180525,3.0,376.0,VS,,,,
180960,0.0,377.0,AS,,,,
180975,1.0,377.0,AS,,,,
180990,2.0,377.0,DB,,,,
181005,3.0,377.0,VS,,,,
181440,0.0,378.0,SG,,,,
181455,1.0,378.0,AS,,,,
181470,2.0,378.0,DB,,,,
181485,3.0,378.0,SG,,,,
181920,0.0,379.0,VS,,,,
181935,1.0,379.0,AS,,,,
181950,2.0,379.0,DB,,,,
181965,3.0,379.0,AS,,,,
182400,0.0,380.0,DB,,,,
182415,1.0,380.0,VS,,,,
182430,2.0,380.0,SG,,,,
182445,3.0,380.0,SG,,,,
182880,0.0,381.0,DB,,,,
182895,1.0,381.0,VS,,,,
182910,2.0,381.0,SG,,,,
182925,3.0,381.0,SG,,,,
183360,0.0,382.0,SG,,,,
183375,1.0,382.0,DB,,,,
183390,2.0,382.0,DB,,,,
183405,3.0,382.0,VS,,,,
183840,0.0,383.0,VS,,,,
183855,1.0,383.0,VS,,,,
183870,2.0,383.0,SG,,,,
183885,3.0,383.0,AS,,,,
184320,0.0,384.0,SG,,,,
184335,1.0,384.0,AS,,,,
184350,2.0,384.0,AS,,,,
184365,3.0,384.0,VS,,,,
184800,0.0,385.0,SG,,,,
184815,1.0,385.0,AS,,,,
184830,2.0,385.0,SG,,,,
184845,3.0,385.0,AS,,,,
