"","X","group","agent","trial","round","scaling","choice","isRandom","reward","payoff","rescaled","env","search_dist","soc_sd1","soc_sd2","soc_sd3","soc_sd","soc_rew1","soc_rew2","soc_rew3","soc_rew","prev_rew","RT_server","soc_choice1","soc_choice2","soc_choice3"
"268",268,6,1,12,1,68,115,0,0.8369,85,63,18,2.23606797749979,5.8309518948453,6.32455532033676,0,4.05183573839402,0.9177,0.9304,0.9385,0.928866666666667,0.728,2735,87,51,115
"269",269,6,1,13,1,68,114,0,0.6746,67,51,18,1,4.24264068711928,7.21110255092798,1.4142135623731,4.28931893347345,0.8944,0.8844,0.9471,0.908633333333333,0.8369,4795,84,52,104
"270",270,6,1,14,1,68,117,0,0.7053,72,54,18,3,4.47213595499958,5,3,4.15737865166653,0.9942,0.4435,0.7047,0.714133333333333,0.6746,3329,75,76,114
"271",271,6,1,0,2,74,105,1,0.1682,16,17,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",272,6,1,1,2,74,12,0,0.05,2,6,15,9.4339811320566,5,6,4.12310562561766,5.04103520853922,0.6186,0.5788,0.2785,0.491966666666667,0.1682,2435,17,18,27
"273",273,6,1,2,2,74,63,0,0.4794,48,41,15,8.06225774829855,2,3.16227766016838,4.24264068711928,3.13497278242922,0.3095,0.5073,0.7507,0.5225,0.05,5156,61,49,93
"274",274,6,1,3,2,74,19,0,0.7296,72,58,15,4,7.81024967590665,7.21110255092798,8.54400374531753,7.85511865738405,0.6602,0.333,0.7507,0.5813,0.4794,3879,80,57,104
"275",275,6,1,4,2,74,18,0,0.5052,51,43,15,1,7.81024967590665,4.12310562561766,8.54400374531753,6.82578634894728,0.6109,0.2259,0.8909,0.5759,0.7296,3816,79,63,103
"276",276,6,1,5,2,74,20,0,0.825,83,66,15,2,7.81024967590665,8.60232526704263,10,8.80419164764976,0.7557,0.9135,0.9855,0.8849,0.5052,4384,81,92,102
"277",277,6,1,6,2,74,21,0,0.6899,68,55,15,1,7.81024967590665,10,11.3137084989848,9.70798605829714,0.8007,0.9488,0.9984,0.915966666666666,0.825,3567,82,103,101
"278",278,6,1,7,2,74,31,0,0.781,79,63,15,1.4142135623731,7.21110255092798,8.48528137423857,10.6301458127346,8.77550991263373,0.7439,0.9978,0.9036,0.881766666666667,0.6899,4132,93,91,100
"279",279,6,1,8,2,74,42,0,0.7325,74,60,15,1,5,8.48528137423857,8.60232526704263,7.36253554709373,0.7156,1,0.9789,0.898166666666667,0.781,3467,83,102,90
"280",280,6,1,9,2,74,9,0,0.795,80,64,15,3,9.8488578017961,10.816653826392,10,10.221837209396,0.6877,1,1,0.8959,0.7325,3412,104,102,91
"281",281,6,1,10,2,74,10,0,0.7201,71,58,15,1,10,10.6301458127346,12.2065556157337,10.9455671428228,0.6399,0.9978,0.857,0.831566666666667,0.795,3507,92,91,113
"282",282,6,1,11,2,74,8,0,0.7153,72,58,15,2,7.21110255092798,10.295630140987,8.60232526704263,8.70301931965253,0.7696,1,0.8468,0.872133333333333,0.7201,3540,70,102,80
"283",283,6,1,12,2,74,30,0,0.7018,71,58,15,2,5.8309518948453,9.21954445729289,10,8.35016545071273,0.5986,0.9497,0.875,0.807766666666667,0.7153,4398,58,101,112
"284",284,6,1,13,2,74,32,0,0.6366,65,53,15,2,7.21110255092798,10,10.816653826392,9.34258545910665,0.7633,0.9487,0.8481,0.853366666666667,0.7018,3310,94,90,89
"285",285,6,1,14,2,74,41,0,0.6572,66,54,15,2.23606797749979,6.32455532033676,7.81024967590665,6.40312423743285,6.84597641122542,0.7465,1,0.9132,0.886566666666667,0.6366,3007,105,102,92
"286",286,6,1,0,3,72,72,1,0.8477,85,66,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",287,6,1,1,3,72,73,0,0.7884,79,62,2,1,0,4,2.23606797749979,2.07868932583326,0.5901,0.2032,0.5992,0.464166666666667,0.8477,2376,73,117,64
"288",288,6,1,2,3,72,71,0,0.7081,72,57,2,2,3.60555127546399,1.4142135623731,1.4142135623731,2.14465946673673,0.7701,0.7251,0.6271,0.707433333333333,0.7884,5779,36,59,61
"289",289,6,1,3,3,72,61,0,0.9669,96,74,2,1.4142135623731,4.47213595499958,1,2,2.49071198499986,0.6153,0.8451,0.526,0.662133333333333,0.7081,6805,35,60,59
"290",290,6,1,4,3,72,50,0,0.9682,97,75,2,1,2.23606797749979,2.23606797749979,1,1.82404531833319,0.9287,0.8104,1,0.913033333333333,0.9669,3651,37,71,39
"291",291,6,1,5,3,72,39,0,0.8801,89,69,2,1,1,2,1,1.33333333333333,0.9588,0.957,0.9514,0.955733333333333,0.9682,3123,38,61,28
"292",292,6,1,6,3,72,28,0,0.8073,80,63,2,1,1,3.16227766016838,1.4142135623731,1.85883040751382,0.8657,0.9421,0.9774,0.9284,0.8801,3982,27,62,40
"293",293,6,1,7,3,72,17,0,0.7308,72,57,2,1,3.16227766016838,5,2.23606797749979,3.46611521255606,1,0.8521,0.9128,0.921633333333333,0.8073,3562,49,72,38
"294",294,6,1,8,3,72,62,0,0.8625,87,68,2,4.12310562561766,2,1,3,2,0.9102,0.957,0.9093,0.9255,0.7308,3474,60,61,29
"295",295,6,1,9,3,72,60,0,0.8826,88,68,2,2,1.4142135623731,1,3,1.80473785412437,0.909,0.957,0.8861,0.917366666666667,0.8625,3212,50,61,27
"296",296,6,1,10,3,72,49,0,0.9896,98,76,2,1,1.4142135623731,1.4142135623731,2,1.60947570824873,0.8863,0.957,0.891,0.911433333333333,0.8826,5054,39,61,51
