"","X","group","agent","trial","round","scaling","isRandom","reward","payoff","rescaled","env","soc_sd","soc_rew","prev_rew","RT_server","soc_choice","social"
"1022",1022,6,1,0,1,68,1,0.158,17,17,18,NA,NA,NA,NA,NA,1
"1023",1023,6,1,0,1,68,1,0.158,17,17,18,NA,NA,NA,NA,NA,1
"1024",1024,6,1,0,1,68,1,0.158,17,17,18,NA,NA,NA,NA,NA,1
"1025",1025,6,1,1,1,68,0,0.5775,58,44,18,10.6301458127346,0.158,0.158,3404,89,0
"1026",1026,6,1,1,1,68,0,0.5775,58,44,18,7.28010988928052,0.7607,0.158,3404,118,1
"1027",1027,6,1,1,1,68,0,0.5775,58,44,18,8.24621125123532,0.0792,0.158,3404,3,1
"1028",1028,6,1,1,1,68,0,0.5775,58,44,18,3,0.6419,0.158,3404,56,1
"1029",1029,6,1,2,1,68,0,0.6941,71,53,18,7,0.5775,0.5775,4891,96,0
"1030",1030,6,1,2,1,68,0,0.6941,71,53,18,1,0.7854,0.5775,4891,107,1
"1031",1031,6,1,2,1,68,0,0.6941,71,53,18,2,0.8792,0.5775,4891,94,1
"1032",1032,6,1,2,1,68,0,0.6941,71,53,18,7.81024967590665,0.3732,0.5775,4891,35,1
"1033",1033,6,1,3,1,68,0,0.6758,68,51,18,1,0.6941,0.6941,3502,97,0
"1034",1034,6,1,3,1,68,0,0.6758,68,51,18,1,0.8426,0.6941,3502,96,1
"1035",1035,6,1,3,1,68,0,0.6758,68,51,18,4.12310562561766,0.6587,0.6941,3502,82,1
"1036",1036,6,1,3,1,68,0,0.6758,68,51,18,9.05538513813742,0.5202,0.6941,3502,77,1
"1037",1037,6,1,4,1,68,0,0.6665,67,51,18,1.4142135623731,0.6758,0.6758,3879,107,0
"1038",1038,6,1,4,1,68,0,0.6665,67,51,18,2,0.94,0.6758,3879,85,1
"1039",1039,6,1,4,1,68,0,0.6665,67,51,18,1,0.6715,0.6758,3879,106,1
"1040",1040,6,1,4,1,68,0,0.6665,67,51,18,6.40312423743285,0.3489,0.6758,3879,58,1
"1041",1041,6,1,5,1,68,0,0.7104,72,54,18,1,0.6665,0.6665,5566,108,0
"1042",1042,6,1,5,1,68,0,0.7104,72,54,18,3.16227766016838,0.9461,0.6665,5566,74,1
"1043",1043,6,1,5,1,68,0,0.7104,72,54,18,4.12310562561766,0.8295,0.6665,5566,93,1
"1044",1044,6,1,5,1,68,0,0.7104,72,54,18,2,0.8796,0.6665,5566,106,1
"1045",1045,6,1,6,1,68,0,0.6797,68,51,18,1.4142135623731,0.7104,0.7104,3705,120,0
"1046",1046,6,1,6,1,68,0,0.6797,68,51,18,5.3851648071345,0.8234,0.7104,3705,63,1
"1047",1047,6,1,6,1,68,0,0.6797,68,51,18,5,0.8247,0.7104,3705,83,1
"1048",1048,6,1,6,1,68,0,0.6797,68,51,18,3.60555127546399,0.8289,0.7104,3705,95,1
"1049",1049,6,1,7,1,68,0,0.6144,63,48,18,2,0.6797,0.6797,3079,118,0
"1050",1050,6,1,7,1,68,0,0.6144,63,48,18,4.12310562561766,0.9401,0.6797,3079,73,1
"1051",1051,6,1,7,1,68,0,0.6144,63,48,18,2.23606797749979,0.7902,0.6797,3079,95,1
"1052",1052,6,1,7,1,68,0,0.6144,63,48,18,2,0.7563,0.6797,3079,96,1
"1053",1053,6,1,8,1,68,0,0.6524,64,49,18,1,0.6144,0.6144,3610,119,0
"1054",1054,6,1,8,1,68,0,0.6524,64,49,18,4,0.9942,0.6144,3610,75,1
"1055",1055,6,1,8,1,68,0,0.6524,64,49,18,5.3851648071345,1,0.6144,3610,62,1
"1056",1056,6,1,8,1,68,0,0.6524,64,49,18,3.60555127546399,0.8916,0.6144,3610,94,1
"1057",1057,6,1,9,1,68,0,0.7728,76,57,18,3.16227766016838,0.6524,0.6524,3738,105,0
"1058",1058,6,1,9,1,68,0,0.7728,76,57,18,3.60555127546399,0.974,0.6524,3738,86,1
"1059",1059,6,1,9,1,68,0,0.7728,76,57,18,4.47213595499958,0.9831,0.6524,3738,63,1
"1060",1060,6,1,9,1,68,0,0.7728,76,57,18,1.4142135623731,0.8738,0.6524,3738,93,1
"1061",1061,6,1,10,1,68,0,0.8424,84,62,18,1,0.7728,0.7728,3383,116,0
"1062",1062,6,1,10,1,68,0,0.8424,84,62,18,5.65685424949238,1,0.7728,3383,76,1
"1063",1063,6,1,10,1,68,0,0.8424,84,62,18,4.12310562561766,0.9481,0.7728,3383,73,1
"1064",1064,6,1,10,1,68,0,0.8424,84,62,18,1,0.9661,0.7728,3383,105,1
"1065",1065,6,1,11,1,68,0,0.728,73,55,18,2,0.8424,0.8424,3922,94,0
"1066",1066,6,1,11,1,68,0,0.728,73,55,18,4.47213595499958,1,0.8424,3922,76,1
"1067",1067,6,1,11,1,68,0,0.728,73,55,18,3,0.8321,0.8424,3922,61,1
"1068",1068,6,1,11,1,68,0,0.728,73,55,18,2,1,0.8424,3922,116,1
"1069",1069,6,1,12,1,68,0,0.8369,85,63,18,2.23606797749979,0.728,0.728,2735,115,0
"1070",1070,6,1,12,1,68,0,0.8369,85,63,18,5.8309518948453,0.9177,0.728,2735,87,1
"1071",1071,6,1,12,1,68,0,0.8369,85,63,18,6.32455532033676,0.9304,0.728,2735,51,1
"1072",1072,6,1,12,1,68,0,0.8369,85,63,18,0,0.9385,0.728,2735,115,1
"1073",1073,6,1,13,1,68,0,0.6746,67,51,18,1,0.8369,0.8369,4795,114,0
"1074",1074,6,1,13,1,68,0,0.6746,67,51,18,4.24264068711928,0.8944,0.8369,4795,84,1
