"","agent","group","model","r2_DB","id","r2_AS","r2_SG","Unnamed..0","r2_VS","fit","lambda","beta","tau","par"
"33",1,6,"AS",0.334637777068208,8,0.307932439425743,0.273501565122695,240,0.225226711171207,351.274062354579,0.456637929255651,0.492059322346832,0.00732306073897979,NA
"34",1,6,"DB",0.334637777068208,8,0.307932439425743,0.273501565122695,240,0.225226711171207,337.253456594192,0.447710818396484,0.49914651646484,0.006797670028891,0.0714285714285714
"35",1,6,"VS",0.334637777068208,8,0.307932439425743,0.273501565122695,240,0.225226711171207,393.99766311921,1.93819693138137,0.00673794699908547,0.0805971906691071,0.0714285714285714
"36",1,6,"SG",0.334637777068208,8,0.307932439425743,0.273501565122695,240,0.225226711171207,367.696932758629,0.483235976659813,0.487872312727776,0.00950419618024103,90.0171313005218
"37",2,6,"AS",0.302929569935355,9,0.299245478716603,0.276459488782299,4080,0.225607433147434,369.459517239731,0.894218931970155,0.328440760037403,0.0316524373891151,NA
"38",2,6,"DB",0.302929569935355,9,0.299245478716603,0.276459488782299,4080,0.225607433147434,367.595652797652,0.887713855545614,0.326591259548009,0.031404057055679,0.0714285714285714
"39",2,6,"VS",0.302929569935355,9,0.299245478716603,0.276459488782299,4080,0.225607433147434,408.357444873737,1.76362909007249,0.00673794699908547,0.0689765684721733,0.0714285714285714
"40",2,6,"SG",0.302929569935355,9,0.299245478716603,0.276459488782299,4080,0.225607433147434,381.401796510798,0.875494523620557,0.329153266026123,0.0312639071225908,25.2774507012241
"41",3,6,"AS",0.458101349061628,10,0.459473326196875,0.452468694806735,7920,0.459440936430462,290.332303729202,1.39688669124628,0.239452201851191,0.0301631584810904,NA
"42",3,6,"DB",0.458101349061628,10,0.459473326196875,0.452468694806735,7920,0.459440936430462,291.06923180629,1.38857365581869,0.24195713770156,0.0294035114375037,0.0714285714285714
"43",3,6,"VS",0.458101349061628,10,0.459473326196875,0.452468694806735,7920,0.459440936430462,290.349701197183,1.39046568849926,0.23958686165256,0.0300834091212849,0.0714285714285714
"44",3,6,"SG",0.458101349061628,10,0.459473326196875,0.452468694806735,7920,0.459440936430462,294.09469116878,1.39756141504067,0.230493220156525,0.0301703972068167,10.1132398277325
"45",4,6,"AS",0.416039174955094,11,0.420758658797088,0.426066425548158,11760,0.395466512335894,311.127056549087,0.851236562124116,0.416020037442126,0.0229255358607311,NA
"46",4,6,"DB",0.416039174955094,11,0.420758658797088,0.426066425548158,11760,0.395466512335894,313.662026019914,0.853782851767222,0.415043853791586,0.0232022833512012,0.0714285714285714
"47",4,6,"VS",0.416039174955094,11,0.420758658797088,0.426066425548158,11760,0.395466512335894,324.712190279248,0.860639449396944,0.407148532899474,0.0264093292109258,0.0714285714285714
"48",4,6,"SG",0.416039174955094,11,0.420758658797088,0.426066425548158,11760,0.395466512335894,308.276103537549,0.847538188469188,0.409314161023433,0.0228022291887737,26.6232207786443
"129",1,16,"AS",-0.0331142263268596,32,0.198539063276555,0.191995938565631,960,0.194403921133829,418.44367781505,2.05055261092258,0.00673794699908547,0.0773639389693359,NA
"130",1,16,"DB",-0.0331142263268596,32,0.198539063276555,0.191995938565631,960,0.194403921133829,542.850853369066,2.05703638656552,0.00673794699908547,0.0781231943479873,0.0714285714285714
"131",1,16,"VS",-0.0331142263268596,32,0.198539063276555,0.191995938565631,960,0.194403921133829,420.476799298275,2.06505188284091,0.00673794699908547,0.0780381109885796,0.0714285714285714
"132",1,16,"SG",-0.0331142263268596,32,0.198539063276555,0.191995938565631,960,0.194403921133829,421.787301459541,1.99330933989459,0.00673794699908547,0.0768781491231011,90.0171313005218
"133",2,16,"AS",0.471584878054612,33,0.477210241690064,0.483746759132609,4800,0.3864048377264,278.319729940333,0.802369184753486,0.438151795405686,0.0228257154906586,NA
"134",2,16,"DB",0.471584878054612,33,0.477210241690064,0.483746759132609,4800,0.3864048377264,281.312777945525,0.805039969258,0.437719774754105,0.0230620530914678,0.0714285714285714
"135",2,16,"VS",0.471584878054612,33,0.477210241690064,0.483746759132609,4800,0.3864048377264,327.049123943152,0.821612814123373,0.403510337750569,0.0271535172629207,0.0714285714285714
"136",2,16,"SG",0.471584878054612,33,0.477210241690064,0.483746759132609,4800,0.3864048377264,274.836057582675,0.809955756446636,0.431222691439792,0.0225103000237039,26.664258808766
"137",3,16,"AS",0.422157550927669,34,0.425654786299592,0.423057669485247,8640,0.419395042673501,308.497206726594,1.64827753549681,0.13181212073498,0.0447969577867118,NA
"138",3,16,"DB",0.422157550927669,34,0.425654786299592,0.423057669485247,8640,0.419395042673501,310.375671659822,1.68814868989376,0.128011534381429,0.0452304077376214,0.0714285714285714
"139",3,16,"VS",0.422157550927669,34,0.425654786299592,0.423057669485247,8640,0.419395042673501,311.859493688179,1.76547003669951,0.095234422116603,0.0488104224072722,0.0714285714285714
"140",3,16,"SG",0.422157550927669,34,0.425654786299592,0.423057669485247,8640,0.419395042673501,309.892192292167,1.7312435822921,0.117526520300631,0.044791854786431,10.8717185575654
"141",4,16,"AS",0.173192649257719,35,0.143004123846081,0.207197301632647,12480,0.222277038788129,460.316944693128,0.582239358006807,0.436785195901927,0.0204940490015366,NA
"142",4,16,"DB",0.173192649257719,35,0.143004123846081,0.207197301632647,12480,0.222277038788129,444.101826080609,1.17900509843448,0.221679645287655,0.0612871590711953,0.0714285714285714
"143",4,16,"VS",0.173192649257719,35,0.143004123846081,0.207197301632647,12480,0.222277038788129,417.73719954102,1.79175877468824,0.00673794699908547,0.0990828536824561,0.0714285714285714
"144",4,16,"SG",0.173192649257719,35,0.143004123846081,0.207197301632647,12480,0.222277038788129,425.836956759618,1.75763711719895,0.00673794699908547,0.0996381395639517,90.0171313005218
"209",1,24,"AS",0.277541240473491,52,0.263237401709284,0.267628576994709,1560,0.180586600886464,395.736219561973,0.746422888995882,0.399422153968327,0.0251673082594736,NA
"210",1,24,"DB",0.277541240473491,52,0.263237401709284,0.267628576994709,1560,0.180586600886464,388.053219514327,0.711650110960308,0.428418015247062,0.0218679778557701,0.0714285714285714
"211",1,24,"VS",0.277541240473491,52,0.263237401709284,0.267628576994709,1560,0.180586600886464,440.130323629246,1.67149242901718,0.0560930455033869,0.0789260723419952,0.0714285714285714
"212",1,24,"SG",0.277541240473491,52,0.263237401709284,0.267628576994709,1560,0.180586600886464,393.377593987169,0.740335051519223,0.395006109721094,0.025684365005403,41.3734544574497
"213",2,24,"AS",0.328640461697717,53,0.328712649230374,0.359668611291563,5400,0.231605237134252,360.567595382362,0.788248963612797,0.442127768678223,0.0313337404227527,NA
"214",2,24,"DB",0.328640461697717,53,0.328712649230374,0.359668611291563,5400,0.231605237134252,360.606369366463,0.790658280274289,0.441298777595685,0.0312813274371504,0.0714285714285714
"215",2,24,"VS",0.328640461697717,53,0.328712649230374,0.359668611291563,5400,0.231605237134252,412.726757972212,1.85605701135199,0.00673794699908547,0.107488327013925,0.0714285714285714
"216",2,24,"SG",0.328640461697717,53,0.328712649230374,0.359668611291563,5400,0.231605237134252,343.940264641877,0.782393195605863,0.437523355660631,0.0300567430792946,4.73945579987965
"217",3,24,"AS",0.585128489590786,54,0.58819125253651,0.594553761717017,9240,0.583446625480211,221.194231740098,2.07923888712401,0.0596770501262045,0.0262465966558541,NA
"218",3,24,"DB",0.585128489590786,54,0.58819125253651,0.594553761717017,9240,0.583446625480211,222.83932913289,2.13537878788886,0.0496495140795678,0.0261932514194994,0.0714285714285714
"219",3,24,"VS",0.585128489590786,54,0.58819125253651,0.594553761717017,9240,0.583446625480211,223.742706348943,2.1225010878829,0.0556569452255259,0.0266891157967899,0.0714285714285714
"220",3,24,"SG",0.585128489590786,54,0.58819125253651,0.594553761717017,9240,0.583446625480211,217.776746466193,2.16415092607355,0.0487323716866544,0.0266197461568581,5.44929187768767
"221",4,24,"AS",0.0871411255470979,55,0.126100326982309,0.151684401796398,13080,0.154849705777751,469.396456441732,11.7764111670667,0.00673794699908547,0.173467811125584,NA
"222",4,24,"DB",0.0871411255470979,55,0.126100326982309,0.151684401796398,13080,0.154849705777751,490.322555471315,11.2936784452929,0.00673794699908547,0.166448974689613,0.0714285714285714
"223",4,24,"VS",0.0871411255470979,55,0.126100326982309,0.151684401796398,13080,0.154849705777751,453.954344551609,11.7710601105969,0.00673794699908547,0.17879975179203,0.0714285714285714
"224",4,24,"SG",0.0871411255470979,55,0.126100326982309,0.151684401796398,13080,0.154849705777751,455.654519661273,11.7959714764914,0.00673794699908547,0.173335124862868,90.0171313005218
